	St	Ht	Vt	N
19655	149.547658568	25.215640027	25.0762092746	90
19656	117.625481327	22.7368385323	22.7291105037	90
19657	129.880182517	23.6002857208	23.6839157896	90
19658	116.864482686	22.6259346319	22.6672637907	90
19659	160.463158144	25.851632581	25.7867377656	90
19660	80.4701012149	19.2011693931	19.2535409334	90
19661	109.523707479	22.0196407209	22.0537405969	90
19662	172.925356971	26.4716009773	26.5519665794	90
19663	78.0959860103	18.9611356276	18.9916293644	90
19664	41.4477058392	13.9955464518	13.8713976883	90
19665	93.9673868169	20.6787207157	20.638374471	90
19666	84.0388210823	19.5362347655	19.6362322272	90
19667	119.576034909	22.8425471247	22.8862009905	90
19668	105.876471928	21.7235560854	21.736790043	90
19669	87.820352005	20.1032513519	20.0282498828	90
19670	149.45750286	25.0313891241	25.0701700755	90
19671	120.426945661	22.9526814076	22.9540959887	90
19672	52.3902823272	15.6925294261	15.6714729246	90
19673	89.038526337	20.0147123955	20.1517418897	90
19674	85.1925727927	19.8441479376	19.7572627453	90
19675	129.731702365	23.6037385574	23.6727836259	90
19676	201.313620469	28.3869630501	28.1415819831	90
19677	71.8462944884	18.2913647297	18.2715984994	90
19678	79.3437794182	19.01439648	19.1300393986	90
19679	153.134377807	25.3907562622	25.3141389032	90
19680	51.2958913598	15.5325318991	15.5047776981	90
19681	110.240545309	22.1154736257	22.1150557868	90
19682	52.2986382895	15.7342992877	15.6576142258	90
19683	76.3383701797	18.8250630151	18.793748329	90
19684	128.004579038	23.5287519918	23.5425448275	90
19685	103.491855807	21.4905799615	21.524894571	90
19686	120.941613316	22.8910909611	22.9949778036	90
19687	77.4913821516	19.0414657495	18.9239505974	90
19688	83.3328695923	19.5649815051	19.5615407713	90
19689	85.5963722363	19.7806956376	19.7993219538	90
19690	67.2434926015	17.7678793051	17.7099593224	90
19691	142.364435228	24.6433953559	24.5856335259	90
19692	61.8172668528	17.0695919757	17.0088831438	90
19693	99.346360555	21.173105311	21.1472354146	90
19694	40.6296315168	13.7088484388	13.7233027701	90
19695	92.908000665	20.5139973327	20.5354870475	90
19696	81.7719716553	19.4010082783	19.3946394334	90
19697	76.2757658994	18.9679616318	18.7866356225	90
19698	162.790698934	25.8920811613	25.9332030363	90
19699	81.5005247002	19.1924739275	19.3653636042	90
19700	103.075096345	21.5352091815	21.4874691389	90
19701	127.480210468	23.5698739713	23.5027272202	90
19702	79.638909761	19.2214711822	19.1625306722	90
19703	148.438411844	24.9625957625	25.0017014005	90
19704	111.559960787	22.2628556755	22.2270968438	90
19705	71.9877848509	18.1900029982	18.2884218849	90
19706	149.856286347	25.1783773302	25.0968610775	90
19707	109.262722274	22.0119929187	22.0313386117	90
19708	95.3674594664	20.6969940932	20.7729704309	90
19709	111.133516916	22.3745757355	22.1909991184	90
19710	128.955638012	23.6891711345	23.6144336538	90
19711	111.574341813	22.1395892955	22.2283122763	90
19712	108.553133016	21.9677173575	21.9702165521	90
19713	79.3359862609	19.1251369519	19.1291801775	90
19714	78.7232367729	19.0324804797	19.0614178458	90
19715	93.8961724069	20.5620220651	20.6314865708	90
19716	60.0685973894	16.7006950272	16.7730153971	90
19717	117.45334356	22.6978207596	22.7151485165	90
19718	61.067611079	16.9100222831	16.9083929149	90
19719	77.185973609	18.8840262122	18.8896087436	90
19720	70.6623609321	18.1568710356	18.1298235749	90
19721	77.4670539355	18.9209139909	18.9212188202	90
19722	116.977917476	22.7141994691	22.6765028304	90
19723	128.220000762	23.6036917407	23.5588652258	90
19724	95.7133910957	20.8666667452	20.8059887795	90
19725	134.750757016	24.0291289273	24.0435946546	90
19726	124.366571044	23.2498253605	23.2635806497	90
19727	143.552266633	24.7050723698	24.6681009064	90
19728	91.6310936875	20.4965579764	20.4102517799	90
19729	196.15442179	28.0913531152	27.8668085987	90
19730	67.2514632448	17.8811807928	17.7109569358	90
19731	132.959271894	23.7564322795	23.9125191234	90
19732	103.607290375	21.547312155	21.5352398045	90
19733	99.4908088801	21.1888000747	21.1606004591	90
19734	146.096715688	24.8597359005	24.8429358556	90
19735	107.702116623	21.8011959877	21.8964964554	90
19736	128.146458591	23.657227666	23.5532961034	90
19737	102.333681333	21.433439666	21.4205949412	90
19738	103.88048947	21.4809344235	21.5596879003	90
19739	157.471897831	25.5371100987	25.5959803677	90
19740	53.6531956228	15.7492947361	15.8606330681	90
19741	109.806576225	22.1901490832	22.0779735857	90
19742	52.1248014283	15.6878376206	15.6312761335	90
19743	79.5399958907	19.2869191076	19.1516514836	90
19744	146.923728757	24.9579657625	24.8992377368	90
19745	67.1014763129	17.6699994563	17.6921692965	90
19746	130.632382207	23.8805768973	23.7401563994	90
19747	71.1904970761	18.2926652451	18.1932903119	90
19748	103.02486358	21.6178375933	21.4829501739	90
19749	105.315395299	21.6593353177	21.6872728336	90
19750	77.6528307021	18.8946312437	18.9420626845	90
19751	82.1333050156	19.4560758196	19.4334932799	90
19752	83.4720666833	19.5469858857	19.5763068377	90
19753	88.7665723379	20.1260644398	20.1242869896	90
19754	173.391698035	26.5064306989	26.5797286502	90
19755	74.5133332503	18.5354316697	18.5845319991	90
19756	94.9124253934	20.6960582188	20.729395849	90
19757	112.969438372	22.3674854736	22.3456382066	90
19758	155.013242457	25.5142718729	25.4369986526	90
19759	106.366249481	21.6950199929	21.7798466144	90
19760	106.598087941	21.9027386777	21.8001733419	90
19761	84.5143122083	19.6816770512	19.6862670309	90
19762	81.4395201434	19.3890278858	19.358773833	90
19763	148.514843136	24.9924125108	25.0068495393	90
19764	132.963989562	23.880746127	23.912866136	90
19765	75.3582668645	18.7742366592	18.6818764587	90
19766	58.4523985873	16.5673971389	16.5503547648	90
19767	86.7853492256	19.8854980218	19.9222771703	90
19768	132.839705352	23.8788047917	23.9037210193	90
19769	61.8899658179	16.9516644832	17.0185791517	90
19770	155.388713636	25.4263466374	25.4614076219	90
19771	126.645846973	23.4811430917	23.4391015232	90
19772	62.262756382	17.0915370819	17.0681638416	90
19773	164.320449443	25.9727701983	26.0285518166	90
19774	145.13215446	24.7457041216	24.7769471319	90
19775	106.764750832	21.7801546415	21.8147642672	90
19776	66.5486988615	17.5786405724	17.6226498126	90
19777	157.75445473	25.6827094967	25.6141232518	90
19778	119.516317425	22.8668045765	22.8814217378	90
