	St	Ht	Vt	N
63	81.0987580271	576.050930182	357.256948118	15
64	93.9228430565	390.293235013	36.9318365159	15
65	48.5341661675	2023.02173359	2648.73205207	15
66	103.914485162	401.329249677	15.3231940822	15
67	78.2408075925	567.33400613	473.462454227	15
68	98.265353184	447.165134014	3.00899957627	15
69	137.197138942	1833.87698137	1383.62714547	15
70	93.1577132656	-625.684935115	46.8168877557	15
71	203.458344402	10836.904675	10703.6290264	15
72	65.7075421546	1002.91680124	1175.97266508	15
73	95.4450433238	25.609924864	20.7476303219	15
74	106.104976513	-170.466237213	37.270738219	15
75	60.8018176448	1817.29563866	1536.49749995	15
76	54.3535508642	1830.88837525	2083.59831871	15
77	114.738204919	325.371540175	217.214684228	15
78	113.455397798	-441.798751717	181.047729908	15
79	64.4922986624	722.333478257	1260.79685428	15
80	130.755277224	928.645162325	945.88707711	15
81	67.6471227115	848.079394152	1046.70866884	15
82	88.9422315509	-158.470554638	122.274243075	15
83	81.0674319624	690.214249169	358.442132497	15
84	106.375401003	-446.542140405	40.6457379465	15
85	100.482585849	-1185.01867913	0.232889101533	15
86	49.9791839793	2146.83049658	2502.08203537	15
87	102.492362856	70.3449796403	6.21187260522	15
88	71.1577866379	568.791486479	831.873271623	15
89	89.8711032823	0.954546240454	102.594548718	15
90	38.0156758927	3314.7234369	3842.05643504	15
91	145.316642034	1579.5828851	2053.59804526	15
92	144.633621898	1155.03995063	1992.16020373	15
93	118.130186588	745.922985316	328.703665711	15
94	91.7204976097	462.641597913	68.5501598315	15
95	99.9165016882	-659.656908117	0.0069719680796	15
96	89.251837129	808.003753562	115.523005102	15
97	67.1768583853	-37.6954890694	1077.35862546	15
98	105.538354788	674.730976541	30.6733737554	15
99	163.237751136	3223.41231246	3999.01316876	15
100	97.7981206901	562.290472394	4.84827249553	15
101	69.6906556383	386.250382284	918.656355636	15
102	104.837213929	379.61096516	23.3986385977	15
103	122.954018201	1050.2239725	526.886951592	15
104	240.370366064	19519.8013692	19703.8396688	15
105	107.924014715	-18.0449438255	62.7900092061	15
106	106.208023011	-1332.67461407	38.5395496996	15
107	117.829387068	944.25057167	317.887043227	15
108	72.4426156717	1352.63679301	759.409431016	15
109	162.124098564	4162.35610522	3859.40362245	15
110	84.8847719691	598.804994415	228.470118427	15
111	94.8061334488	-896.971001499	26.9762497515	15
112	111.492397007	256.901293082	132.075188957	15
113	82.5057364168	730.592755441	306.049258318	15
114	72.1602157507	372.546126997	775.053587049	15
115	100.454801427	170.042275884	0.206844338087	15
116	66.9276275725	514.893291526	1093.78181799	15
117	88.1356989027	-69.5495563372	140.761640527	15
118	95.5790911401	143.851719379	19.5444351475	15
119	175.50246663	5774.37383642	5700.62246719	15
120	110.420550957	-308.753155397	108.587882239	15
121	105.263677932	618.848944476	27.7063053715	15
122	118.945207979	661.133279323	358.92090538	15
123	139.644560238	1280.07543012	1571.6911565	15
124	119.728797747	1341.03463678	389.225460538	15
125	151.033921877	1424.04440885	2604.46118213	15
126	55.7070128469	1637.31853089	1961.86871095	15
127	77.3299994492	673.786316377	513.928924975	15
128	89.703934217	41.4313552585	106.008970608	15
129	83.228856803	431.612078948	281.271244133	15
130	121.873665544	549.831449991	478.457244332	15
131	112.2336103	220.511950888	149.661220979	15
132	211.588443407	12631.8966971	12451.9807019	15
133	62.3813236413	1075.06032076	1415.16481098	15
134	114.877962075	332.661955027	221.353755491	15
135	84.9162816596	479.237636913	227.518558972	15
136	105.978362798	-76.7684370218	35.7408217401	15
137	86.4502783061	571.15799123	183.594957982	15
138	49.5170435516	2329.88782906	2548.52889177	15
139	58.2975951949	1595.35195574	1739.09056653	15
140	87.072243913	196.230845128	167.126877446	15
141	53.8407622116	919.934562271	2130.6752332	15
142	84.0648585387	577.597693797	253.92873339	15
143	172.507099643	4829.23258889	5257.27949857	15
144	123.660461031	405.655747821	559.817416208	15
145	66.0455059989	1304.41751526	1152.90766287	15
146	232.648246424	18700.6398685	17595.5572793	15
147	111.987181685	622.43293678	143.69252476	15
148	153.52447165	2895.18301176	2864.86906546	15
149	112.959727413	622.340843934	167.954534632	15
150	76.0106902728	388.47764537	575.486981186	15
151	83.2361741678	832.61048485	281.025856533	15
152	107.502644027	-161.437357119	56.2896673898	15
153	92.5168882208	-67.1217629877	55.9969619005	15
154	199.52951561	6119.50191866	9906.12447754	15
155	82.1626502348	901.149676521	318.171046646	15
156	91.1995944047	346.490643611	77.4471386416	15
157	121.999170742	-1207.06535052	483.963513318	15
158	75.5511412253	840.336636384	597.746695388	15
159	120.265991913	1028.92464982	410.710428206	15
160	50.7490130279	2146.61863881	2425.65971772	15
161	145.095883173	2379.06076522	2033.63867912	15
162	68.8625832034	851.562092825	969.538724767	15
163	188.335434577	7701.63707562	7803.14900185	15
164	140.869444991	2587.64332538	1670.31153389	15
165	68.7743378145	192.008145111	975.041978921	15
